Food Name,Food Code,Description,Group,Group (sub-class),Comments,Energy (kcal),Protein (g),Carbohydrate (g),Total Sugars (g),Total Nitrogen (g),NSP (g),Fibre (g),Fat (g),Starch (g),Water (g),Total Phytosterols (mg),Description Footnote,Citric acid (g),Malic acid (g),Alcohol (g),Alpha-carotene (µg),Beta-carotene (µg),Cryptoxanthins (µg),Lutein (µg),Lycopene (µg),Carotene (µg),Satd FA (/100g FA g),Satd FA /100g fd (g),n-6 poly (/100g FA g),n-6 poly (/100g food g),n-3 poly (/100g FA g),n-3 poly (/100g food g),cis-Mono FA (/100g FA g),cis-Mono FA (/100g food g),Mono FA (/100g FA g),Mono FA (/100g food g),cis-Polyu FA (/100g FA g),cis-Poly FA (/100g food g),Poly FA (/100g FA g),Poly FA (/100g food g),Sat FA excl Br (/100g FA g),Sat FA excl Br (/100g food g),Branched chain FA (/100g FA g),Branched chain FA (/100g food g),ans FAs (/100g FA g),ans FAs (/100g food g),Sodium (mg),Potassium (mg),Calcium (mg),Magnesium (mg),Phosphorus (mg),Iron (mg),Copper (mg),Zinc (mg),Chloride (mg),Manganese (mg),Selenium (µg),Iodine (µg),Other Cholesterol and Phytosterols (mg),Phytosterol (mg),Beta-sitosterol (mg),Brassicasterol (mg),Campesterol (mg),Delta-5-avenasterol (mg),Delta-7-avenasterol (mg),Delta-7-stigmastenol (mg),Stigmasterol (mg),Cholesterol (mg),Oligosaccharide (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),All-trans-retinol (µg),13-cis-retinol (µg),Dehydroretinol (µg),Retinaldehyde (µg),Retinol Equivalent (µg),Retinol (µg),5-mehtyl folate (µg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Tryptophan/60 (mg),Niacin equivalent (mg),Vitamin B6 (mg),Vitamin B12 (µg),Folate (µg),Pantothenate (mg),Biotin (µg),Vitamin C (mg),25-hydroxy vitamin D3 (µg),Cholecalciferol (µg),Vitamin D (µg),Alpha-tocopherol (mg),Beta-tocopherol (mg),Delta-tocopherol (mg),Gamma-tocopherol (mg),Alpha-tocotrienol (mg),Delta-tocotrienol (mg),Gamma-tocotrienol (mg),Vitamin E (mg),Vitamin K1 (µg)
"Lemon juice, fresh",14-277,Analysis and literature sources,Beverages,PE,As FAN 14-277,7,0.3,1.6,1.6,0.05,0.1,0,0,0,91.4,0,,0,0,0,0,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,130,7,7,8,0.1,0.03,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.9,0.2,0,0,0,0,0,0,2,0,0,0.03,0.01,0.1,0,0,0.05,0,13,0.1,0.3,36,0,0,0,0,0,0,0,0,0,0,0,0
"Grapefruit juice, unsweetened",14-275,"50 samples; cartons, canned, bottled and frozen",Beverages,PE,As FAN 14-275,33,0.4,8.25,8.25,0.07,0,0,0.1,0,89.4,0,Frozen samples were diluted as per manufacturers' instructions prior to analysis,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,100,14,8,11,0.2,0.01,0,4,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3.3,2,0,0,0,0,0,0,0,0,0,0.04,0.01,0.2,0,0,0.02,0,6,0.08,1,31,0,0,0,0.19,0,0,0.01,0,0,0,0.19,0
"Grape juice, unsweetened",14-273,"10 samples, 6 brands; red and white juice",Beverages,PE,As FAN 14-273,46,0.3,11.7,11.7,0.05,0,0,0.1,0,85.4,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,55,19,7,14,0.9,0,0.1,6,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,6.2,0,0,0,0,0,0,0,0,0,0,0,0.01,0.1,0,0,0.04,0,1,0.03,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0
"Apple juice, unsweetened",14-271,10 samples; bottles and cartons,Beverages,PE,As FAN 14-271,38,0.1,9.85,9.85,0.01,0,0,0.1,0,88,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,2,110,7,5,6,0.1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,6.3,1.1,0,0,0,0,0,0,0,0,0,0.01,0.01,0.1,0,0,0.02,0,4,0.04,0.8,14,0,0,0,0,0,0,0,0,0,0,0,0
"Complan powder, savoury",17-541,"Chicken flavour, manufacturer's data (Heinz)",Beverages,PAA,"Manufacturers data, Farleys, 2000. Fibre fractions from 12-086",435,15.25,62.4,7.05,2.42,0.3,0,14.6,5.1,3.5,0,,0,0,0,0,0,0,0,0,0,0,6.2,0,0,0,0,0,0,0,5.9,0,0,0,1.6,0,0,0,0,0,0,1300,480,360,79,380,6.7,0.53,4.2,1300,0.61,20,61,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0.1,0.2,3.8,1.3,0,0,0,0,310,310,0,0.78,0.58,7,3.5,10.5,0.61,0.7,170,2.3,50,44,0,0,4.4,0,0,0,0,0,0,0,3.5,0
Coffee and chicory essence,17-545,7 bottles of the same brand (CAMP),Beverages,PAA,"As MW6, Manufacturer's data, McCormick Europe condiment Division, Sep 2000",218,1.6,54.75,52.65,0.33,0,0,0.2,2,36.9,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,75,30,39,90,0.7,0.6,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0,3.4,47.5,0,0,0,0,0,0,0,0,0,0,0.03,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Build-up powder, soup",17-535,"Manufacturer's data (Nestlé). Average of chicken, mushroom and potato & leek flavours",Beverages,PAA,"Data from Manufacturer (Nestle). Proximate values -  total carbohydrate and its components, starch and sugars are expressed as their monosaccharide equivalents",377,20.3,56.5,32.4,3.29,0,1,8.2,21.8,3,0,,0,0,0,0,0,0,0,0,690,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1567,767,652,243,652,11.3,0,12,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2,0,0,0,0,652,0,0,1.23,1.33,14.5,0,0,1.73,0.7,163,4.97,120,49,0,0,4.2,0,0,0,0,0,0,0,8.1,0
"Coffee, instant",17-158,"10 jars, 2 brands",Beverages,PAA,"As MSF 17-158 Vitamin K1 from Bolton-Smith et al Br.J. Nutr. 83, 2000",75,14.6,4.3,0,3.26,0,0,0,4.1,3.4,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,3780,140,330,310,4.6,0.62,1.1,65,2.1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.21,24.8,2.9,0,0.02,0,11,0,67,0,0,0,0,0,0,0,0,0,0,0,0,4.3
Horlicks powder,17-503,Manufacturer's data (SmithKline Beecham),Beverages,PAA,Manufacturer's data (SmithKline Beecham) and MW5 (50-1069) for sugars. Fibre fractions from 12-097,373,9.6,76.5,53,1.54,4,0,4.7,53,2.5,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490,686,640,39,300,11.2,0.2,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,640,640,0,1.12,1.28,14.4,3,17.4,0,0.8,160,0,0,48,0,0,4,0,0,0,0,0,0,0,0,0
Ovaltine powder,17-504,"6 samples, Manufacturer's data (Novartis)",Beverages,PAA,"Data from Manufacturer (Novartis). Proximate values -  total carbohydrate and its components, starch and sugars expressed as  monosaccharide equivalents, folate from LGC, added folic acid in supplements and fortified foods, 1995. Fibre from 12-108",352,7.3,79.85,47,1.14,2.5,0,1.9,31.3,2,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,156,800,300,0,28,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,1.6,0,0,0,2,0,400,0,0,120,0,0,5,0,0,0,0,0,0,0,20,0
"Lime juice cordial, undiluted",17-200,6 bottles of the same brand (Roses),Beverages,PCC,As MSF 17-200,112,0.1,29.65,29.65,0.01,0,0,0,0,70.5,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,49,9,4,5,0.3,0.07,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5,0,11,5.9,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fruit drink/squash, undiluted",17-189,"Mixed sample; lemon, orange, apple and mixed fruit flavours",Beverages,PCC,As MSF 17-189,93,0.1,24.7,24.5,0.02,0,0,0,0,74.4,0,,0,0,0,0,0,0,0,0,690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,27,6,1,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3,0,10.3,3.1,0.9,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.01,0,2,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
Shortbread,11-523,4 Samples,Cereals and cereal products ,AM,"LGC, Nutritional analysis of foods for pre-school children, 1992, Food Surveillance sheet No. 18",509,6.3,60.75,15.35,1.05,1.9,0,27.5,43.3,3.3,0,,0,0,0,0,149,0,0,0,149,0,18.23,0,0,0,0,0,0,0,6.74,0,0,0,1.26,0,0,0,0,0,0,270,110,89,13,74,1.5,0,0.3,445,0.48,0,0,0,0,0,0,0,0,0,0,0,74,0,0.2,0,0.1,15.3,0,0.1,285,56,0,0,352,327,0,0.18,0.03,1.1,1.2,2.3,0.08,0,14,0.3,1,0,0,0.36,0.4,0.72,0.17,0,0.87,0,0,0,0.88,0
"Crunch biscuits, cream filled",11-520,"5 samples, 2 brands of crunch creams",Cereals and cereal products ,AM,"Data as MW6 11-520 and FA supplement 11-408, source LGC, Nutritional analysis of foods for pre-school children, 1992, Food Surveillance sheet No. 18.",497,5.2,65.75,40.15,0.91,1,0,24.6,24.4,2.4,0,,0,0,0,0,0,0,0,0,0,63.8,15,7.1,1.67,0.4,0.09,25.2,5.93,28.9,6.8,7.2,1.69,7.3,1.72,63.8,15,0,0,3.8,0.89,260,120,83,16,100,2.1,0,0.5,295,0.41,0,65,0,37.4,21.1,0.2,6.9,1.4,0.3,0.3,3,3,0,0.8,0,0.5,37.1,1.5,1.2,0,0,0,0,0,0,0,0.23,0.15,1.6,1,2.6,0.07,0,11,0.4,1,0,0,0,0,1.45,0.1,0.22,1.32,0,0,0,1.63,0
Semi-sweet biscuits,11-521,"10 samples, 3 brands including Osborne, Rich Tea and Marie",Cereals and cereal products ,AM,"Data as MW5 50-104, Fats as FA Supplement 11-381, Vitamin E from MMB, Fat, fatty acids and vitamin E content of a selection of biscuits, cakes and desserts, 1992. Vitamin K1 from Bolton-Smith et al, Br.J.Nutr. 2000",427,7.05,71.85,21.75,1.18,1.7,0,13.3,47.7,2.5,0,,0,0,0,0,0,0,0,0,0,0,6.25,9.63,1.22,0.29,0.04,34.37,4.37,0,5.09,9.28,1.18,0,1.26,49.48,6.25,0.16,0.02,6.3,0.8,410,140,120,17,84,2.1,0.08,0.6,520,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,19.1,3.2,0,0,0,0,0,0,0,0,0.13,0.08,1.5,1.4,2.9,0.06,0,13,0,0,0,0,0,0,2.14,0,0,2.14,0,0,0,2.35,1.71
